X,Y,formation,appar_th,thickness,cl,cm,p1x,p1y,p2x,p2y,dip,type
509083.5652779045,7509839.915558679,Wittenoom_Formation,665.2623970846303,363,-0.9986157412341186,0.05259849198819032,508820.57281796355,7504846.836852509,509346.55773784546,7514832.994264849,33.152079069084145,full
515494.4628386981,7509816.7319759,Wittenoom_Formation,772.7005600426428,490,-0.9565770555652956,0.29147956492013244,514037.06501409743,7505033.846698074,516951.8606632988,7514599.617253726,39.433489227790254,full
519922.855516935,7510700.49570857,Wittenoom_Formation,1076.0922560665056,154,-0.9918754954299422,-0.12721242693073118,520558.9176515887,7505741.11823142,519286.7933822813,7515659.873185719,8.229833222826784,full
523048.0255426596,7511696.634111812,Wittenoom_Formation,1157.9640501583688,269,-0.863713942471405,-0.5039823663388459,525567.9373743539,7507378.064399456,520528.1137109654,7516015.203824169,13.453126678604804,full
524965.16076637,7513561.55955241,Wittenoom_Formation,1821.7176338899146,295,-0.6305966829919901,-0.7761107030569152,528845.7142816546,7510408.57613745,521084.60725108546,7516714.54296737,9.349467746804848,full
548011.594352125,7514041.38387348,Wittenoom_Formation,2088.584675320842,180,0.8944995767182451,0.4470687947630436,545776.2503783097,7518513.881757071,550246.9383259402,7509568.8859898895,4.958550058896634,full
546734.4959050771,7512737.346306195,Wittenoom_Formation,2357.40424492153,391,0.8194488717355133,0.5731522891966797,543868.7344590937,7516834.590664872,549600.2573510605,7508640.101947517,9.567960596807026,full
546239.663881355,7511670.246964795,Wittenoom_Formation,1936.4259190517594,349,0.2871475410412256,0.9578863657417708,541450.2320526461,7513105.984670001,551029.0957100638,7510234.509259588,10.405562405787549,full
544745.17500337,7510007.90110997,Wittenoom_Formation,1591.702830078788,240,0.6337277193415973,0.7735561891279119,540877.3940577304,7513176.539706678,548612.9559490096,7506839.262513262,8.691729479085552,full
543475.585569415,7506648.89978729,Wittenoom_Formation,1231.9119405180368,149,0.6137553138553573,0.7894963044336002,539528.104047247,7509717.676356567,547423.067091583,7503580.123218013,6.963373231740221,full
